Time t;Delay
0.0747641;2.91439e-05
0.0747951;2.91435e-05
0.074826;2.91432e-05
0.074857;2.91428e-05
0.074888;2.91424e-05
0.074919;2.91421e-05
0.07495;2.91417e-05
0.074981;2.91414e-05
0.0750119;2.9141e-05
0.0750429;2.91407e-05
0.0750739;2.91403e-05
0.0751049;2.914e-05
0.0751359;2.91396e-05
0.0751669;2.91393e-05
0.0751978;2.9139e-05
0.0752288;2.91387e-05
0.0752598;2.91384e-05
0.0752908;2.91381e-05
0.0753218;2.91377e-05
0.0753528;2.91374e-05
0.0753837;2.91371e-05
0.0754147;2.91369e-05
0.0754457;2.91366e-05
0.0754767;2.91363e-05
0.0755077;2.9136e-05
0.0755387;2.91357e-05
0.0755697;2.91355e-05
0.0756006;2.91352e-05
0.0756316;2.91349e-05
0.0756626;2.91347e-05
0.0756936;2.91344e-05
0.0757246;2.91342e-05
0.0757556;2.91339e-05
0.0757865;2.91337e-05
0.0758175;2.91334e-05
0.0758485;2.91332e-05
0.0758795;2.9133e-05
0.0759105;2.91328e-05
0.0759415;2.91325e-05
0.0759724;2.91323e-05
0.0760034;2.91321e-05
0.0760344;2.91319e-05
0.0760654;2.91317e-05
0.0760964;2.91315e-05
0.0761274;2.91313e-05
0.0761583;2.91311e-05
0.0761893;2.9131e-05
0.0762203;2.91308e-05
0.0762513;2.91306e-05
0.0762823;2.91304e-05
0.0763133;2.91303e-05
0.0763442;2.91301e-05
0.0763752;2.913e-05
0.0764062;2.91298e-05
0.0764372;2.91297e-05
0.0764682;2.91295e-05
0.0764992;2.91294e-05
0.0765302;2.91292e-05
0.0765611;2.91291e-05
0.0765921;2.9129e-05
0.0766231;2.91289e-05
0.0766541;2.91288e-05
0.0766851;2.91286e-05
0.0767161;2.91285e-05
0.076747;2.91284e-05
0.076778;2.91283e-05
0.076809;2.91282e-05
0.07684;2.91282e-05
0.076871;2.91281e-05
0.076902;2.9128e-05
0.0769329;2.91279e-05
0.0769639;2.91278e-05
0.0769949;2.91278e-05
0.0770259;2.91277e-05
0.0770569;2.91277e-05
0.0770879;2.91276e-05
0.0771188;2.91275e-05
0.0771498;2.91275e-05
0.0771808;2.91275e-05
0.0772118;2.91274e-05
0.0772428;2.91274e-05
0.0772738;2.91274e-05
0.0773047;2.91273e-05
0.0773357;2.91273e-05
0.0773667;2.91273e-05
0.0773977;2.91273e-05
0.0774287;2.91273e-05
0.0774597;2.91273e-05
0.0774907;2.91273e-05
0.0775216;2.91273e-05
0.0775526;2.91273e-05
0.0775836;2.91273e-05
0.0776146;2.91274e-05
0.0776456;2.91274e-05
0.0776766;2.91274e-05
0.0777075;2.91275e-05
0.0777385;2.91275e-05
0.0777695;2.91275e-05
0.0778005;2.91276e-05
0.0778315;2.91277e-05
0.0778625;2.91277e-05
0.0778934;2.91278e-05
0.0779244;2.91278e-05
0.0779554;2.91279e-05
0.0779864;2.9128e-05
0.0780174;2.91281e-05
0.0780484;2.91282e-05
0.0780793;2.91282e-05
0.0781103;2.91283e-05
0.0781413;2.91284e-05
0.0781723;2.91285e-05
0.0782033;2.91286e-05
0.0782343;2.91288e-05
0.0782652;2.91289e-05
0.0782962;2.9129e-05
0.0783272;2.91291e-05
0.0783582;2.91292e-05
0.0783892;2.91294e-05
0.0784202;2.91295e-05
0.0784512;2.91297e-05
0.0784821;2.91298e-05
0.0785131;2.913e-05
0.0785441;2.91301e-05
0.0785751;2.91303e-05
0.0786061;2.91304e-05
0.0786371;2.91306e-05
0.078668;2.91308e-05
0.078699;2.9131e-05
0.07873;2.91311e-05
0.078761;2.91313e-05
0.078792;2.91315e-05
0.078823;2.91317e-05
0.0788539;2.91319e-05
0.0788849;2.91321e-05
0.0789159;2.91323e-05
0.0789469;2.91325e-05
0.0789779;2.91328e-05
0.0790089;2.9133e-05
0.0790398;2.91332e-05
0.0790708;2.91334e-05
0.0791018;2.91337e-05
0.0791328;2.91339e-05
0.0791638;2.91342e-05
0.0791948;2.91344e-05
0.0792257;2.91347e-05
0.0792567;2.91349e-05
0.0792877;2.91352e-05
0.0793187;2.91355e-05
0.0793497;2.91357e-05
0.0793807;2.9136e-05
0.0794117;2.91363e-05
0.0794426;2.91366e-05
0.0794736;2.91369e-05
0.0795046;2.91371e-05
0.0795356;2.91374e-05
0.0795666;2.91377e-05
0.0795976;2.91381e-05
0.0796285;2.91384e-05
0.0796595;2.91387e-05
0.0796905;2.9139e-05
0.0797215;2.91393e-05
0.0797525;2.91396e-05
0.0797835;2.914e-05
0.0798144;2.91403e-05
0.0798454;2.91407e-05
0.0798764;2.9141e-05
0.0799074;2.91414e-05
0.0799384;2.91417e-05
0.0799694;2.91421e-05
0.0800003;2.91424e-05
0.0800313;2.91428e-05
0.0800623;2.91432e-05
0.0800933;2.91435e-05
0.0801243;2.91439e-05
0.0801553;2.91443e-05
0.0801862;2.91447e-05
0.0802172;2.91451e-05
0.0802482;2.91455e-05
0.0802792;2.91459e-05
0.0803102;2.91463e-05
0.0803412;2.91467e-05
0.0803722;2.91471e-05
0.0804031;2.91475e-05
0.0804341;2.9148e-05
0.0804651;2.91484e-05
0.0804961;2.91488e-05
0.0805271;2.91493e-05
0.0805581;2.91497e-05
0.080589;2.91502e-05
0.08062;2.91506e-05
0.080651;2.91511e-05
0.080682;2.91515e-05
0.080713;2.9152e-05
0.080744;2.91524e-05
0.0807749;2.91529e-05
0.0808059;2.91534e-05
0.0808369;2.91539e-05
0.0808679;2.91544e-05
0.0808989;2.91548e-05
0.0809299;2.91553e-05
0.0809608;2.91558e-05
0.0809918;2.91563e-05
0.0810228;2.91568e-05
0.0810538;2.91574e-05
0.0810848;2.91579e-05
0.0811158;2.91584e-05
0.0811467;2.91589e-05
0.0811777;2.91594e-05
0.0812087;2.916e-05
0.0812397;2.91605e-05
0.0812707;2.9161e-05
0.0813017;2.91616e-05
0.0813327;2.91621e-05
0.0813636;2.91627e-05
0.0813946;2.91632e-05
0.0814256;2.91638e-05
0.0814566;2.91644e-05
0.0814876;2.91649e-05
0.0815186;2.91655e-05
0.0815495;2.91661e-05
0.0815805;2.91667e-05
0.0816115;2.91672e-05
0.0816425;2.91678e-05
0.0816735;2.91684e-05
0.0817045;2.9169e-05
0.0817354;2.91696e-05
0.0817664;2.91702e-05
0.0817974;2.91709e-05
0.0818284;2.91715e-05
0.0818594;2.91721e-05
0.0818904;2.91727e-05
0.0819213;2.91733e-05
0.0819523;2.9174e-05
0.0819833;2.91746e-05
0.0820143;2.91752e-05
0.0820453;2.91759e-05
0.0820763;2.91765e-05
0.0821072;2.91772e-05
0.0821382;2.91778e-05
0.0821692;2.91785e-05
0.0822002;2.91792e-05
0.0822312;2.91798e-05
0.0822622;2.91805e-05
0.0822932;2.91812e-05
0.0823241;2.91819e-05
0.0823551;2.91826e-05
0.0823861;2.91832e-05
0.0824171;2.91839e-05
0.0824481;2.91846e-05
0.0824791;2.91853e-05
0.08251;2.9186e-05
0.082541;2.91867e-05
0.082572;2.91875e-05
0.082603;2.91882e-05
0.082634;2.91889e-05
0.082665;2.91896e-05
0.0826959;2.91904e-05
0.0827269;2.91911e-05
0.0827579;2.91918e-05
0.0827889;2.91926e-05
0.0828199;2.91933e-05
0.0828509;2.91941e-05
0.0828818;2.91948e-05
0.0829128;2.91956e-05
0.0829438;2.91963e-05
0.0829748;2.91971e-05
0.0830058;2.91979e-05
0.0830368;2.91986e-05
0.0830677;2.91994e-05
0.0830987;2.92002e-05
0.0831297;2.9201e-05
0.0831607;2.92018e-05
0.0831917;2.92026e-05
0.0832227;2.92034e-05
0.0832537;2.92042e-05
0.0832846;2.9205e-05
0.0833156;2.92058e-05
0.0833466;2.92066e-05
0.0833776;2.92074e-05
0.0834086;2.92082e-05
0.0834396;2.92091e-05
0.0834705;2.92099e-05
0.0835015;2.92107e-05
0.0835325;2.92116e-05
0.0835635;2.92124e-05
0.0835945;2.92133e-05
0.0836255;2.92141e-05
0.0836564;2.9215e-05
0.0836874;2.92158e-05
0.0837184;2.92167e-05
0.0837494;2.92175e-05
0.0837804;2.92184e-05
0.0838114;2.92193e-05
0.0838423;2.92202e-05
0.0838733;2.9221e-05
0.0839043;2.92219e-05
0.0839353;2.92228e-05
0.0839663;2.92237e-05
0.0839973;2.92246e-05
0.0840282;2.92255e-05
0.0840592;2.92264e-05
0.0840902;2.92273e-05
0.0841212;2.92282e-05
0.0841522;2.92291e-05
0.0841832;2.923e-05
0.0842141;2.9231e-05
0.0842451;2.92319e-05
0.0842761;2.92328e-05
0.0843071;2.92338e-05
0.0843381;2.92347e-05
0.0843691;2.92356e-05
0.0844001;2.92366e-05
0.084431;2.92375e-05
0.084462;2.92385e-05
0.084493;2.92394e-05
0.084524;2.92404e-05
0.084555;2.92414e-05
0.084586;2.92423e-05
0.0846169;2.92433e-05
0.0846479;2.92443e-05
0.0846789;2.92452e-05
0.0847099;2.92462e-05
0.0847409;2.92472e-05
0.0847719;2.92482e-05
0.0848028;2.92492e-05
0.0848338;2.92502e-05
0.0848648;2.92512e-05
0.0848958;2.92522e-05
0.0849268;2.92532e-05
0.0849578;2.92542e-05
0.0849887;2.92552e-05
0.0850197;2.92563e-05
0.0850507;2.92573e-05
0.0850817;2.92583e-05
0.0851127;2.92593e-05
0.0851437;2.92604e-05
0.0851746;2.92614e-05
0.0852056;2.92624e-05
0.0852366;2.92635e-05
0.0852676;2.92645e-05
0.0852986;2.92656e-05
0.0853296;2.92666e-05
0.0853606;2.92677e-05
0.0853915;2.92688e-05
0.0854225;2.92698e-05
0.0854535;2.92709e-05
0.0854845;2.9272e-05
0.0855155;2.9273e-05
0.0855465;2.92741e-05
0.0855774;2.92752e-05
0.0856084;2.92763e-05
0.0856394;2.92774e-05
0.0856704;2.92785e-05
0.0857014;2.92796e-05
0.0857324;2.92807e-05
0.0857633;2.92818e-05
0.0857943;2.92829e-05
0.0858253;2.9284e-05
0.0858563;2.92851e-05
0.0858873;2.92862e-05
0.0859183;2.92874e-05
0.0859492;2.92885e-05
0.0859802;2.92896e-05
0.0860112;2.92907e-05
0.0860422;2.92919e-05
0.0860732;2.9293e-05
0.0861042;2.92942e-05
0.0861351;2.92953e-05
0.0861661;2.92965e-05
0.0861971;2.92976e-05
0.0862281;2.92988e-05
0.0862591;2.92999e-05
0.0862901;2.93011e-05
0.0863211;2.93023e-05
0.086352;2.93034e-05
0.086383;2.93046e-05
0.086414;2.93058e-05
0.086445;2.9307e-05
0.086476;2.93082e-05
0.086507;2.93093e-05
0.0865379;2.93105e-05
0.0865689;2.93117e-05
0.0865999;2.93129e-05
0.0866309;2.93141e-05
0.0866619;2.93153e-05
0.0866929;2.93165e-05
0.0867238;2.93177e-05
0.0867548;2.9319e-05
0.0867858;2.93202e-05
0.0868168;2.93214e-05
0.0868478;2.93226e-05
0.0868788;2.93239e-05
0.0869097;2.93251e-05
0.0869407;2.93263e-05
0.0869717;2.93276e-05
0.0870027;2.93288e-05
0.0870337;2.933e-05
0.0870647;2.93313e-05
0.0870956;2.93325e-05
0.0871266;2.93338e-05
0.0871576;2.9335e-05
0.0871886;2.93363e-05
0.0872196;2.93376e-05
0.0872506;2.93388e-05
0.0872816;2.93401e-05
0.0873125;2.93414e-05
0.0873435;2.93427e-05
0.0873745;2.93439e-05
0.0874055;2.93452e-05
0.0874365;2.93465e-05
0.0874675;2.93478e-05
0.0874984;2.93491e-05
0.0875294;2.93504e-05
0.0875604;2.93517e-05
0.0875914;2.9353e-05
0.0876224;2.93543e-05
0.0876534;2.93556e-05
0.0876843;2.93569e-05
0.0877153;2.93582e-05
0.0877463;2.93595e-05
0.0877773;2.93609e-05
0.0878083;2.93622e-05
0.0878393;2.93635e-05
0.0878702;2.93648e-05
0.0879012;2.93662e-05
0.0879322;2.93675e-05
0.0879632;2.93689e-05
0.0879942;2.93702e-05
0.0880252;2.93715e-05
0.0880561;2.93729e-05
0.0880871;2.93742e-05
0.0881181;2.93756e-05
0.0881491;2.9377e-05
0.0881801;2.93783e-05
0.0882111;2.93797e-05
0.0882421;2.9381e-05
0.088273;2.93824e-05
0.088304;2.93838e-05
0.088335;2.93852e-05
0.088366;2.93865e-05
0.088397;2.93879e-05
0.088428;2.93893e-05
0.0884589;2.93907e-05
0.0884899;2.93921e-05
0.0885209;2.93935e-05
0.0885519;2.93949e-05
0.0885829;2.93963e-05
0.0886139;2.93977e-05
0.0886448;2.93991e-05
0.0886758;2.94005e-05
0.0887068;2.94019e-05
0.0887378;2.94033e-05
0.0887688;2.94048e-05
0.0887998;2.94062e-05
0.0888307;2.94076e-05
0.0888617;2.9409e-05
0.0888927;2.94105e-05
0.0889237;2.94119e-05
0.0889547;2.94133e-05
0.0889857;2.94148e-05
0.0890166;2.94162e-05
0.0890476;2.94176e-05
0.0890786;2.94191e-05
0.0891096;2.94205e-05
0.0891406;2.9422e-05
0.0891716;2.94235e-05
0.0892026;2.94249e-05
0.0892335;2.94264e-05
0.0892645;2.94278e-05
0.0892955;2.94293e-05
0.0893265;2.94308e-05
0.0893575;2.94323e-05
0.0893885;2.94337e-05
0.0894194;2.94352e-05
0.0894504;2.94367e-05
0.0894814;2.94382e-05
0.0895124;2.94397e-05
0.0895434;2.94411e-05
0.0895744;2.94426e-05
0.0896053;2.94441e-05
0.0896363;2.94456e-05
0.0896673;2.94471e-05
0.0896983;2.94486e-05
0.0897293;2.94501e-05
0.0897603;2.94517e-05
0.0897912;2.94532e-05
0.0898222;2.94547e-05
0.0898532;2.94562e-05
0.0898842;2.94577e-05
0.0899152;2.94592e-05
0.0899462;2.94608e-05
0.0899771;2.94623e-05
0.0900081;2.94638e-05
0.0900391;2.94654e-05
0.0900701;2.94669e-05
0.0901011;2.94684e-05
0.0901321;2.947e-05
0.0901631;2.94715e-05
0.090194;2.94731e-05
0.090225;2.94746e-05
0.090256;2.94762e-05
0.090287;2.94777e-05
0.090318;2.94793e-05
0.090349;2.94808e-05
0.0903799;2.94824e-05
0.0904109;2.9484e-05
0.0904419;2.94855e-05
0.0904729;2.94871e-05
0.0905039;2.94887e-05
0.0905349;2.94903e-05
0.0905658;2.94918e-05
0.0905968;2.94934e-05
0.0906278;2.9495e-05
0.0906588;2.94966e-05
0.0906898;2.94982e-05
0.0907208;2.94998e-05
0.0907517;2.95014e-05
0.0907827;2.9503e-05
0.0908137;2.95046e-05
0.0908447;2.95062e-05
0.0908757;2.95078e-05
0.0909067;2.95094e-05
0.0909376;2.9511e-05
0.0909686;2.95126e-05
0.0909996;2.95142e-05
0.0910306;2.95158e-05
0.0910616;2.95175e-05
0.0910926;2.95191e-05
0.0911236;2.95207e-05
0.0911545;2.95223e-05
0.0911855;2.9524e-05
0.0912165;2.95256e-05
0.0912475;2.95272e-05
0.0912785;2.95289e-05
0.0913095;2.95305e-05
0.0913404;2.95322e-05
0.0913714;2.95338e-05
0.0914024;2.95355e-05
0.0914334;2.95371e-05
0.0914644;2.95388e-05
0.0914954;2.95404e-05
0.0915263;2.95421e-05
0.0915573;2.95437e-05
0.0915883;2.95454e-05
0.0916193;2.95471e-05
0.0916503;2.95487e-05
0.0916813;2.95504e-05
0.0917122;2.95521e-05
0.0917432;2.95537e-05
0.0917742;2.95554e-05
0.0918052;2.95571e-05
0.0918362;2.95588e-05
0.0918672;2.95605e-05
0.0918981;2.95621e-05
0.0919291;2.95638e-05
0.0919601;2.95655e-05
0.0919911;2.95672e-05
0.0920221;2.95689e-05
0.0920531;2.95706e-05
0.0920841;2.95723e-05
0.092115;2.9574e-05
0.092146;2.95757e-05
0.092177;2.95774e-05
0.092208;2.95791e-05
0.092239;2.95809e-05
0.09227;2.95826e-05
0.0923009;2.95843e-05
0.0923319;2.9586e-05
0.0923629;2.95877e-05
0.0923939;2.95894e-05
0.0924249;2.95912e-05
0.0924559;2.95929e-05
0.0924868;2.95946e-05
0.0925178;2.95964e-05
0.0925488;2.95981e-05
0.0925798;2.95998e-05
0.0926108;2.96016e-05
0.0926418;2.96033e-05
0.0926727;2.96051e-05
0.0927037;2.96068e-05
0.0927347;2.96086e-05
0.0927657;2.96103e-05
0.0927967;2.96121e-05
0.0928277;2.96138e-05
0.0928586;2.96156e-05
0.0928896;2.96173e-05
0.0929206;2.96191e-05
0.0929516;2.96209e-05
0.0929826;2.96226e-05
0.0930136;2.96244e-05
0.0930446;2.96262e-05
0.0930755;2.96279e-05
0.0931065;2.96297e-05
0.0931375;2.96315e-05
0.0931685;2.96333e-05
0.0931995;2.96351e-05
0.0932305;2.96368e-05
0.0932614;2.96386e-05
0.0932924;2.96404e-05
0.0933234;2.96422e-05
0.0933544;2.9644e-05
0.0933854;2.96458e-05
0.0934164;2.96476e-05
0.0934473;2.96494e-05
0.0934783;2.96512e-05
0.0935093;2.9653e-05
0.0935403;2.96548e-05
0.0935713;2.96566e-05
0.0936023;2.96584e-05
0.0936332;2.96602e-05
0.0936642;2.9662e-05
0.0936952;2.96639e-05
0.0937262;2.96657e-05
0.0937572;2.96675e-05
0.0937882;2.96693e-05
0.0938191;2.96711e-05
0.0938501;2.9673e-05
0.0938811;2.96748e-05
0.0939121;2.96766e-05
0.0939431;2.96785e-05
0.0939741;2.96803e-05
0.0940051;2.96821e-05
0.094036;2.9684e-05
0.094067;2.96858e-05
0.094098;2.96877e-05
0.094129;2.96895e-05
0.09416;2.96913e-05
0.094191;2.96932e-05
0.0942219;2.9695e-05
0.0942529;2.96969e-05
0.0942839;2.96987e-05
0.0943149;2.97006e-05
0.0943459;2.97025e-05
0.0943769;2.97043e-05
0.0944078;2.97062e-05
0.0944388;2.97081e-05
0.0944698;2.97099e-05
0.0945008;2.97118e-05
0.0945318;2.97137e-05
0.0945628;2.97155e-05
0.0945937;2.97174e-05
0.0946247;2.97193e-05
0.0946557;2.97212e-05
0.0946867;2.9723e-05
0.0947177;2.97249e-05
0.0947487;2.97268e-05
0.0947796;2.97287e-05
0.0948106;2.97306e-05
0.0948416;2.97325e-05
0.0948726;2.97344e-05
0.0949036;2.97363e-05
0.0949346;2.97382e-05
0.0949656;2.974e-05
0.0949965;2.97419e-05
0.0950275;2.97438e-05
0.0950585;2.97458e-05
0.0950895;2.97477e-05
0.0951205;2.97496e-05
0.0951515;2.97515e-05
0.0951824;2.97534e-05
0.0952134;2.97553e-05
0.0952444;2.97572e-05
0.0952754;2.97591e-05
0.0953064;2.9761e-05
0.0953374;2.9763e-05
0.0953683;2.97649e-05
0.0953993;2.97668e-05
0.0954303;2.97687e-05
0.0954613;2.97707e-05
0.0954923;2.97726e-05
0.0955233;2.97745e-05
0.0955542;2.97765e-05
0.0955852;2.97784e-05
0.0956162;2.97803e-05
0.0956472;2.97823e-05
0.0956782;2.97842e-05
0.0957092;2.97861e-05
0.0957401;2.97881e-05
0.0957711;2.979e-05
0.0958021;2.9792e-05
0.0958331;2.97939e-05
0.0958641;2.97959e-05
0.0958951;2.97978e-05
0.0959261;2.97998e-05
0.095957;2.98017e-05
0.095988;2.98037e-05
0.096019;2.98057e-05
0.09605;2.98076e-05
0.096081;2.98096e-05
0.096112;2.98116e-05
0.0961429;2.98135e-05
0.0961739;2.98155e-05
0.0962049;2.98175e-05
0.0962359;2.98194e-05
0.0962669;2.98214e-05
0.0962979;2.98234e-05
0.0963288;2.98254e-05
0.0963598;2.98273e-05
0.0963908;2.98293e-05
0.0964218;2.98313e-05
0.0964528;2.98333e-05
0.0964838;2.98353e-05
0.0965147;2.98373e-05
0.0965457;2.98392e-05
0.0965767;2.98412e-05
0.0966077;2.98432e-05
0.0966387;2.98452e-05
0.0966697;2.98472e-05
0.0967006;2.98492e-05
0.0967316;2.98512e-05
0.0967626;2.98532e-05
0.0967936;2.98552e-05
0.0968246;2.98572e-05
0.0968556;2.98592e-05
0.0968866;2.98612e-05
0.0969175;2.98632e-05
0.0969485;2.98653e-05
0.0969795;2.98673e-05
0.0970105;2.98693e-05
0.0970415;2.98713e-05
0.0970725;2.98733e-05
0.0971034;2.98753e-05
0.0971344;2.98774e-05
0.0971654;2.98794e-05
0.0971964;2.98814e-05
0.0972274;2.98834e-05
0.0972584;2.98855e-05
0.0972893;2.98875e-05
0.0973203;2.98895e-05
0.0973513;2.98915e-05
0.0973823;2.98936e-05
0.0974133;2.98956e-05
0.0974443;2.98976e-05
0.0974752;2.98997e-05
0.0975062;2.99017e-05
0.0975372;2.99038e-05
0.0975682;2.99058e-05
0.0975992;2.99079e-05
0.0976302;2.99099e-05
0.0976611;2.99119e-05
0.0976921;2.9914e-05
0.0977231;2.9916e-05
0.0977541;2.99181e-05
0.0977851;2.99202e-05
0.0978161;2.99222e-05
0.0978471;2.99243e-05
0.097878;2.99263e-05
0.097909;2.99284e-05
0.09794;2.99304e-05
0.097971;2.99325e-05
0.098002;2.99346e-05
0.098033;2.99366e-05
0.0980639;2.99387e-05
0.0980949;2.99408e-05
0.0981259;2.99428e-05
0.0981569;2.99449e-05
0.0981879;2.9947e-05
0.0982189;2.99491e-05
0.0982498;2.99511e-05
0.0982808;2.99532e-05
0.0983118;2.99553e-05
0.0983428;2.99574e-05
0.0983738;2.99595e-05
0.0984048;2.99615e-05
0.0984357;2.99636e-05
0.0984667;2.99657e-05
0.0984977;2.99678e-05
0.0985287;2.99699e-05
0.0985597;2.9972e-05
0.0985907;2.99741e-05
0.0986216;2.99762e-05
0.0986526;2.99783e-05
0.0986836;2.99804e-05
0.0987146;2.99825e-05
0.0987456;2.99846e-05
0.0987766;2.99867e-05
0.0988076;2.99888e-05
0.0988385;2.99909e-05
0.0988695;2.9993e-05
0.0989005;2.99951e-05
0.0989315;2.99972e-05
0.0989625;2.99993e-05
0.0989935;3.00014e-05
0.0990244;3.00035e-05
0.0990554;3.00056e-05
0.0990864;3.00077e-05
0.0991174;3.00099e-05
0.0991484;3.0012e-05
0.0991794;3.00141e-05
0.0992103;3.00162e-05
0.0992413;3.00183e-05
0.0992723;3.00205e-05
0.0993033;3.00226e-05
0.0993343;3.00247e-05
0.0993653;3.00268e-05
0.0993962;3.0029e-05
0.0994272;3.00311e-05
0.0994582;3.00332e-05
0.0994892;3.00354e-05
0.0995202;3.00375e-05
0.0995512;3.00396e-05
0.0995821;3.00418e-05
0.0996131;3.00439e-05
0.0996441;3.00461e-05
0.0996751;3.00482e-05
0.0997061;3.00503e-05
0.0997371;3.00525e-05
0.0997681;3.00546e-05
0.099799;3.00568e-05
0.09983;3.00589e-05
0.099861;3.00611e-05
0.099892;3.00632e-05
0.099923;3.00654e-05
0.099954;3.00675e-05
0.0999849;3.00697e-05
0.100016;3.00718e-05
0.100047;3.0074e-05
0.100078;3.00762e-05
0.100109;3.00783e-05
0.10014;3.00805e-05
0.100171;3.00826e-05
0.100202;3.00848e-05
0.100233;3.0087e-05
0.100264;3.00891e-05
0.100295;3.00913e-05
0.100326;3.00935e-05
0.100357;3.00956e-05
0.100388;3.00978e-05
0.100419;3.01e-05
0.10045;3.01021e-05
0.100481;3.01043e-05
0.100512;3.01065e-05
0.100543;3.01087e-05
0.100574;3.01109e-05
0.100605;3.0113e-05
0.100636;3.01152e-05
0.100667;3.01174e-05
0.100698;3.01196e-05
0.100729;3.01218e-05
0.10076;3.0124e-05
0.100791;3.01261e-05
0.100822;3.01283e-05
0.100852;3.01305e-05
0.100883;3.01327e-05
0.100914;3.01349e-05
0.100945;3.01371e-05
0.100976;3.01393e-05
0.101007;3.01415e-05
0.101038;3.01437e-05
0.101069;3.01459e-05
0.1011;3.01481e-05
0.101131;3.01503e-05
0.101162;3.01525e-05
0.101193;3.01547e-05
0.101224;3.01569e-05
0.101255;3.01591e-05
0.101286;3.01613e-05
0.101317;3.01635e-05
0.101348;3.01657e-05
0.101379;3.01679e-05
0.10141;3.01701e-05
0.101441;3.01724e-05
0.101472;3.01746e-05
0.101503;3.01768e-05
0.101534;3.0179e-05
0.101565;3.01812e-05
0.101596;3.01834e-05
0.101627;3.01857e-05
0.101658;3.01879e-05
0.101689;3.01901e-05
0.10172;3.01923e-05
0.101751;3.01945e-05
0.101782;3.01968e-05
0.101813;3.0199e-05
0.101844;3.02012e-05
0.101875;3.02035e-05
0.101906;3.02057e-05
0.101937;3.02079e-05
0.101968;3.02101e-05
0.101999;3.02124e-05
0.10203;3.02146e-05
0.102061;3.02168e-05
0.102092;3.02191e-05
0.102123;3.02213e-05
0.102154;3.02236e-05
0.102185;3.02258e-05
0.102216;3.0228e-05
0.102247;3.02303e-05
0.102278;3.02325e-05
0.102309;3.02348e-05
0.10234;3.0237e-05
0.102371;3.02393e-05
0.102402;3.02415e-05
0.102433;3.02438e-05
0.102464;3.0246e-05
0.102495;3.02483e-05
0.102526;3.02505e-05
0.102557;3.02528e-05
0.102588;3.0255e-05
0.102619;3.02573e-05
0.10265;3.02595e-05
0.102681;3.02618e-05
0.102712;3.0264e-05
0.102743;3.02663e-05
0.102773;3.02686e-05
0.102804;3.02708e-05
0.102835;3.02731e-05
0.102866;3.02754e-05
0.102897;3.02776e-05
0.102928;3.02799e-05
0.102959;3.02822e-05
0.10299;3.02844e-05
0.103021;3.02867e-05
0.103052;3.0289e-05
0.103083;3.02912e-05
0.103114;3.02935e-05
0.103145;3.02958e-05
0.103176;3.0298e-05
0.103207;3.03003e-05
0.103238;3.03026e-05
0.103269;3.03049e-05
0.1033;3.03072e-05
0.103331;3.03094e-05
0.103362;3.03117e-05
0.103393;3.0314e-05
0.103424;3.03163e-05
0.103455;3.03186e-05
0.103486;3.03208e-05
0.103517;3.03231e-05
0.103548;3.03254e-05
0.103579;3.03277e-05
0.10361;3.033e-05
0.103641;3.03323e-05
0.103672;3.03346e-05
0.103703;3.03369e-05
0.103734;3.03392e-05
0.103765;3.03415e-05
0.103796;3.03437e-05
0.103827;3.0346e-05
0.103858;3.03483e-05
0.103889;3.03506e-05
0.10392;3.03529e-05
0.103951;3.03552e-05
0.103982;3.03575e-05
0.104013;3.03598e-05
0.104044;3.03621e-05
0.104075;3.03644e-05
0.104106;3.03667e-05
0.104137;3.0369e-05
0.104168;3.03714e-05
0.104199;3.03737e-05
0.10423;3.0376e-05
0.104261;3.03783e-05
0.104292;3.03806e-05
0.104323;3.03829e-05
0.104354;3.03852e-05
0.104385;3.03875e-05
0.104416;3.03898e-05
0.104447;3.03922e-05
0.104478;3.03945e-05
0.104509;3.03968e-05
0.10454;3.03991e-05
0.104571;3.04014e-05
0.104602;3.04037e-05
0.104633;3.04061e-05
0.104664;3.04084e-05
0.104694;3.04107e-05
0.104725;3.0413e-05
0.104756;3.04153e-05
0.104787;3.04177e-05
0.104818;3.042e-05
0.104849;3.04223e-05
0.10488;3.04247e-05
0.104911;3.0427e-05
0.104942;3.04293e-05
0.104973;3.04316e-05
0.105004;3.0434e-05
0.105035;3.04363e-05
0.105066;3.04386e-05
0.105097;3.0441e-05
0.105128;3.04433e-05
0.105159;3.04456e-05
0.10519;3.0448e-05
0.105221;3.04503e-05
0.105252;3.04527e-05
0.105283;3.0455e-05
0.105314;3.04573e-05
0.105345;3.04597e-05
0.105376;3.0462e-05
0.105407;3.04644e-05
0.105438;3.04667e-05
0.105469;3.0469e-05
0.1055;3.04714e-05
0.105531;3.04737e-05
0.105562;3.04761e-05
0.105593;3.04784e-05
0.105624;3.04808e-05
0.105655;3.04831e-05
0.105686;3.04855e-05
0.105717;3.04878e-05
0.105748;3.04902e-05
0.105779;3.04925e-05
0.10581;3.04949e-05
0.105841;3.04972e-05
0.105872;3.04996e-05
0.105903;3.0502e-05
0.105934;3.05043e-05
0.105965;3.05067e-05
0.105996;3.0509e-05
0.106027;3.05114e-05
0.106058;3.05138e-05
0.106089;3.05161e-05
0.10612;3.05185e-05
0.106151;3.05208e-05
0.106182;3.05232e-05
0.106213;3.05256e-05
0.106244;3.05279e-05
0.106275;3.05303e-05
0.106306;3.05327e-05
0.106337;3.0535e-05
0.106368;3.05374e-05
